FBS code,"SUA Names, shortened list",FoodEx2 Code,FoodEx2 Name,SUA equivalent,,,,,,,
1371,"Almonds, in shell",A001N,Common wheat grain,0111,wheat,,,,,,
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",A001P,Durum wheat grain,0111,wheat,,,,,,
1341,Apples,A001N,Common wheat grain,0111,wheat,,,,,,
1343,Apricots,A001P,Durum wheat grain,0111,wheat,,,,,,
1216,Artichokes,A000P,Barley grains,0115,barley,,,,,,
1211,Asparagus,A000T,Maize grain,0112,maize (corn),,,,,,
1311,Avocados,A001K,Rye grain,0116,rye,,,,,,
1312,Bananas,A001R,Spelt grain,0111,wheat,,,,,,
115,"Barley, average",A000N,Buckwheat,01192,buckwheat,,,,,,
0115_s,"Barley, spring",A001B,Common millet grain,0118,millet,,,,,,
0115_w,"Barley, winter",A000G,Oat grain,0117,oats,,,,,,
1701,"Beans, dry",A001D,Rice grain,0113,rice,,,,,,
01355.01,Blueberries,A001J,Indian rice grain,0113,rice,,,,,,
1377,"Brazil nuts, in shell",A010G,Arrowroots,01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1702,"Broad beans and horse beans, dry",A00QG,Beetroots,01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1243,"Broad beans and horse beans, green",A00QH,Carrots,01251,carrots and turnips,,,,,,
1192,Buckwheat,A00QJ,Celeriacs,01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1212,Cabbages,A00QK,Horseradish roots,01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1229,Cantaloupes and other melons,A00QS,Parsley roots,01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1251,Carrots and turnips,A00QR,Parsnip roots,01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1372,"Cashew nuts, in shell",A00QV,Radishes,01212,cabbages,,,,,,
1213,"Cauliflowers and broccoli, average",A00RA,Salsifies,01445,sunflower seed,,,,,,
01213_b,Broccoli,A00RD,Swedes,01212,cabbages,,,,,,
01213_cf,Cauliflowers,A00RE,Turnips,01251,carrots and turnips,,,,,,
01199.9,Cereals n.e.c.,A00GZ,Garlic,01252,green garlic,,,,,,
01344.02,Cherries,A00HC,Onions,01253.01,"onions and shallots, green",,,,,,
1373,"Chestnuts, in shell",A00HF,Shallots,01253.01,"onions and shallots, green",,,,,,
1703,"Chick peas, dry",A00HH,Spring onions,01253.01,"onions and shallots, green",,,,,,
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",A00XD,Chives,01253.01,"onions and shallots, green",,,,,,
1640,Cocoa beans,A0DMX,Tomatoes,01234,tomatoes,,,,,,
1460,"Coconut, in shell",A00JA,Sweet peppers,01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",,,,,,
1610,"Coffee, green",A00JB,Chili peppers,01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",,,,,,
1232,"Cucumbers and gherkins, averrage",A00JD,Aubergines,01233,eggplants (aubergines),,,,,,
01232_gh,"Cucumbers and gherkins, greenhouse",A00JF,Okra,01359.9,"Other fruits, n.e.c.",,,,,Eller kakao,
01232_of,"Cucumbers and gherkins, openfield",A00JM,Cucumbers,01232,cucumbers and gherkins,,,,,,
01351.01,Currants,A00JP,Gherkins,01232,cucumbers and gherkins,,,,,,
1314,Dates,A00JR,Courgettes,01235,"pumpkins, squash and gourds",,,,,,
01599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",A00KF,Melons,01229,cantaloupes and other melons ,,,,,,
1233,Eggplants (aubergines),A00KH,Pumpkins,01235,"pumpkins, squash and gourds",,,,,,
1315,Figs,A00KJ,Watermelons,01221,watermelons,,,,,,
01351.02,Gooseberries,A00KP,Sweet corn,01290.01,green corn (maize) ,,,,,,
1330,Grapes,A00FN,Broccoli,01213,cauliflowers and broccoli,,,,,,
01290.01,Green corn (maize),A00FR,Cauliflowers,01213,cauliflowers and broccoli,,,,,,
1252,Green garlic,A00FV,Brussels sprouts,01212,cabbages,,,,,,
142,"Groundnuts, excluding shelled",A00FY,Head cabbages,01212,cabbages,,,,,,
1374,"Hazelnuts, in shell",A00GG,Chinese cabbages,01212,cabbages,,,,,,
1352,Kiwi fruit,A00GL,Kales and similar-,01212,cabbages,,,,,,
1254,Leeks and other alliaceous vegetables,A00GV,Kohlrabies,01212,cabbages,,,,,,
1322,Lemons and limes,A00KT,Lamb's lettuces,01214,lettuce and chicory,,,,,,
1704,"Lentils, dry",A00KY,Head lettuces,01214,lettuce and chicory,,,,,,
1214,Lettuce and chicory,A00KZ,Crisp lettuces,01214,lettuce and chicory,,,,,,
1441,Linseed,A00LE,Escaroles,01214,lettuce and chicory,,,,,,
01709.02,Lupins,A00LK,Cresses,01212,cabbages,,,,,,
112,Maize (corn),A00LL,Land cresses,01212,cabbages,,,,,,
1316,"Mangoes, guavas and mangosteens",A00LN,Roman rocket,01212,cabbages,,,,,,
118,Millet,A00MJ,Spinaches,01215,spinach,,,,,,
01199.02,Mixed grain,A00MP,Purslanes,01215,spinach,,,,,,
1270,Mushrooms and truffles,A00MX,Chards,1801,sugar beet,,,,,,
117,Oats,A00NB,Grape leaves,,,grape?,,,,,
01491.01,Oil palm fruit,A00ND,Watercresses,01212,cabbages,,,,,,
1450,Olives,A00NE,Witloofs,lettuce and chicory,,,,,,,
01253.02,"Onions and shallots, dry (excluding dehydrated)",A00MV,Oraches leaves,,,peach,,,,,
1323,Oranges,A00MD,Dandelions,01445,sunflower seed,,,,,,
01241.9,"Other beans, green",A00PA,Common nettle,01215,spinach,,,,,,
01359.9,"Other fruits, n.e.c.",A00MT,Garden sorrel,01215,spinach,,,,,,
01449.9,"Other oil seeds, n.e.c.",A00SH,Alfalfa sprouts,01709.90,other pulses n.e.c.,,,,,,
01709.9,Other pulses n.e.c.,A00PC,Beans (with pods) and similar-,01701,"beans, dry",,,,,,
1699,"Other stimulant, spice and aromatic crops, n.e.c.",A00PX,Peas (with pods) and similar-,01705,"peas, dry",,,,,,
01290.9,"Other vegetables, fresh n.e.c.",A00RT,Asparagus,01211,asparagus,,,,,,
1317,Papayas,A00RX,Cardoons,01445,sunflower seed,,,,,,
1345,Peaches and nectarines,A00RY,Celeries,01251,carrots and turnips,,,,,,
01342.01,Pears,A00SA,Florence fennels,01251,carrots and turnips,,,,,,
1705,"Peas, dry",A00RS,Globe artichokes,01216,Artichokes,,,,,,
