SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,GR,0.859,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.141,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,GR,0.633,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,IN,0.123,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,SY,0.129,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.116,0.07,0
01341,Apples,Fruits,GR,0.884,0.07,0
01341,Apples,Fruits,RoW,0.116,0.07,0
01343,Apricots,Fruits,GR,0.95,0.07,0
01343,Apricots,Fruits,RoW,0.05,0.07,0
01379.01,Areca nuts,Nuts,RoW,1,0.06,0
01216,Artichokes,Vegetables,GR,0.996,0.07,0
01216,Artichokes,Vegetables,RoW,0.004,0.07,0
01211,Asparagus,Vegetables,GR,0.963,0.07,0
01211,Asparagus,Vegetables,RoW,0.037,0.07,0
01311,Avocados,Vegetables,GR,0.555,0.07,0
01311,Avocados,Vegetables,PE,0.126,0.07,0
01311,Avocados,Vegetables,RoW,0.318,0.07,0
01312,Bananas,Fruits,CR,0.164,0.07,0
01312,Bananas,Fruits,EC,0.684,0.07,0
01312,Bananas,Fruits,RoW,0.153,0.07,0
0115,"Barley, average","Cereals, incl feed",GR,0.742,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.258,0.045,0
01701,"Beans, dry",Pulses,CA,0.148,0.06,0
01701,"Beans, dry",Pulses,GR,0.645,0.06,0
01701,"Beans, dry",Pulses,RoW,0.206,0.06,0
01355.01,Blueberries,Berries,NL,0.622,0.07,0
01355.01,Blueberries,Berries,ES,0.109,0.07,0
01355.01,Blueberries,Berries,RoW,0.269,0.07,0
01377,"Brazil nuts, in shell",Nuts,GR,0.859,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.141,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",GR,0.668,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",TR,0.233,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.099,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,GR,0.668,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,TR,0.233,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,0.099,0.07,0
01192,Buckwheat,Seeds,CN,0.162,0.06,0
01192,Buckwheat,Seeds,RU,0.436,0.06,0
01192,Buckwheat,Seeds,UA,0.255,0.06,0
01192,Buckwheat,Seeds,RoW,0.147,0.06,0
01212,Cabbages,Vegetables,GR,0.996,0.07,0
01212,Cabbages,Vegetables,RoW,0.004,0.07,0
01195,Canary seed,Nuts,CA,0.985,0.06,0
01195,Canary seed,Nuts,RoW,0.015,0.06,0
01229,Cantaloupes and other melons,Fruits,GR,0.997,0.07,0
01229,Cantaloupes and other melons,Fruits,RoW,0.003,0.07,0
01251,Carrots and turnips,Vegetables,GR,0.943,0.07,0
01251,Carrots and turnips,Vegetables,RoW,0.057,0.07,0
01372,"Cashew nuts, in shell",Nuts,IN,0.456,0.06,0
01372,"Cashew nuts, in shell",Nuts,CI,0.204,0.06,0
01372,"Cashew nuts, in shell",Nuts,RoW,0.34,0.06,0
01520.01,"Cassava, fresh",Vegetables,CR,0.147,0.07,0
01520.01,"Cassava, fresh",Vegetables,TH,0.78,0.07,0
01520.01,"Cassava, fresh",Vegetables,RoW,0.073,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,GR,0.997,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.003,0.07,0
01199.90,Cereals n.e.c.,Cereals,GR,0.9,0.045,0
01199.90,Cereals n.e.c.,Cereals,RoW,0.1,0.045,0
01344.02,Cherries,Berries,GR,0.997,0.07,0
01344.02,Cherries,Berries,RoW,0.003,0.07,0
01373,"Chestnuts, in shell",Nuts,GR,0.982,0.06,0
01373,"Chestnuts, in shell",Nuts,RoW,0.018,0.06,0
01703,"Chick peas, dry",Pulses,GR,0.509,0.06,0
01703,"Chick peas, dry",Pulses,MX,0.4,0.06,0
01703,"Chick peas, dry",Pulses,RoW,0.091,0.06,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,GR,0.953,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,RoW,0.047,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,GR,0.953,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.047,0.07,0
01640,Cocoa beans,Stimulants,CM,0.104,0.07,0
01640,Cocoa beans,Stimulants,GH,0.232,0.07,0
01640,Cocoa beans,Stimulants,CI,0.433,0.07,0
01640,Cocoa beans,Stimulants,NG,0.107,0.07,0
01640,Cocoa beans,Stimulants,RoW,0.123,0.07,0
01460,"Coconut, in shell",Nuts,LK,0.136,0.06,0
01460,"Coconut, in shell",Nuts,ID,0.298,0.06,0
01460,"Coconut, in shell",Nuts,PH,0.408,0.06,0
01460,"Coconut, in shell",Nuts,RoW,0.158,0.06,0
01610,"Coffee, green",Stimulants,BR,0.555,0.07,0
01610,"Coffee, green",Stimulants,RoW,0.445,0.07,0
01355.02,Cranberries,Berries,RoW,1,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,GR,0.995,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.005,0.07,0
01351.01,Currants,Berries,NL,0.316,0.07,0
01351.01,Currants,Berries,PL,0.512,0.07,0
01351.01,Currants,Berries,RoW,0.172,0.07,0
01314,Dates,Fruits,DZ,0.115,0.07,0
01314,Dates,Fruits,IL,0.146,0.07,0
01314,Dates,Fruits,ES,0.203,0.07,0
01314,Dates,Fruits,TN,0.47,0.07,0
01314,Dates,Fruits,RoW,0.066,0.07,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,CN,0.176,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,EG,0.415,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,TG,0.102,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.306,0.24,0
01233,Eggplants (aubergines),Vegetables,GR,0.984,0.07,0
01233,Eggplants (aubergines),Vegetables,RoW,0.016,0.07,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,BG,0.23,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,PL,0.124,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RO,0.238,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,ES,0.138,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,GB,0.181,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RoW,0.089,0.017,0
01315,Figs,Fruits,GR,0.988,0.07,0
01315,Figs,Fruits,RoW,0.012,0.07,0
01193,Fonio,Cereals,GN,0.687,0.045,0
01193,Fonio,Cereals,ML,0.313,0.045,0
21170.02,"game meat, fresh, chilled or frozen",Meat,RoW,1,0.057,0
01351.02,Gooseberries,Berries,RoW,1,0.07,0
01330,Grapes,Fruits,GR,0.934,0.07,0
01330,Grapes,Fruits,RoW,0.066,0.07,0
01290.01,Green corn (maize),Vegetables,GR,0.992,0.07,0
01290.01,Green corn (maize),Vegetables,RoW,0.008,0.07,0
01252,Green garlic,Vegetables,GR,0.893,0.07,0
01252,Green garlic,Vegetables,RoW,0.107,0.07,0
0142,"Groundnuts, excluding shelled",Nuts,GR,0.859,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,RoW,0.141,0.06,0
01374,"Hazelnuts, in shell",Nuts,GR,0.394,0.06,0
01374,"Hazelnuts, in shell",Nuts,TR,0.49,0.06,0
01374,"Hazelnuts, in shell",Nuts,RoW,0.116,0.06,0
0231,"hen eggs in shell, fresh",Dairy,GR,0.816,0.017,0
0231,"hen eggs in shell, fresh",Dairy,RoW,0.184,0.017,0
21118.01,"horse meat, fresh or chilled",Meat,GR,0.976,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,RoW,0.024,0.057,0
01352,Kiwi fruit,Fruits,GR,0.976,0.07,0
01352,Kiwi fruit,Fruits,RoW,0.024,0.07,0
01379.02,Kola nuts,Nuts,CI,0.954,0.06,0
01379.02,Kola nuts,Nuts,RoW,0.046,0.06,0
01254,Leeks and other alliaceous vegetables,Vegetables,GR,0.992,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.008,0.07,0
01322,Lemons and limes,Fruits,AR,0.17,0.07,0
01322,Lemons and limes,Fruits,GR,0.75,0.07,0
01322,Lemons and limes,Fruits,RoW,0.081,0.07,0
01704,"Lentils, dry (organic)",Pulses,CA,0.459,0.06,0
01704,"Lentils, dry (organic)",Pulses,GR,0.429,0.06,0
01704,"Lentils, dry (organic)",Pulses,RoW,0.113,0.06,0
01214,Lettuce and chicory,Vegetables,GR,0.98,0.07,0
01214,Lettuce and chicory,Vegetables,RoW,0.02,0.07,0
01441,Linseed,Seeds,RU,0.854,0.06,0
01441,Linseed,Seeds,RoW,0.146,0.06,0
01709.02,Lupins,Pulses,GR,0.668,0.06,0
01709.02,Lupins,Pulses,TR,0.233,0.06,0
01709.02,Lupins,Pulses,RoW,0.099,0.06,0
0112,Maize (corn),"Cereals, incl feed",GR,0.831,0.045,0
0112,Maize (corn),"Cereals, incl feed",RoW,0.169,0.045,0
01316,"Mangoes, guavas and mangosteens",Fruits,BR,0.407,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PK,0.105,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PE,0.254,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,RoW,0.234,0.07,0
01630,Maté leaves,Stimulants,AR,0.607,0.07,0
01630,Maté leaves,Stimulants,BR,0.346,0.07,0
01630,Maté leaves,Stimulants,RoW,0.048,0.07,0
21118.02,"meat of asses, fresh or chilled",Meat,RoW,1,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,FR,0.266,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,GR,0.393,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,RoW,0.342,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,GR,0.751,0.057,0
