SUA Code,SUA Name,Category,Producer Country,Share,Organic,Waste
1371,"Almonds, in shell",Nuts,RoW,0.02,0,0.06
1371,"Almonds, in shell",Nuts,Spain,0.698,0,0.06
1371,"Almonds, in shell",Nuts,United States of America,0.282,0,0.06
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.144,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,India,0.248,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Spain,0.382,0,0.07
1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,Syrian Arab Republic,0.226,0,0.07
1341,Apples,Fruits,RoW,0.263,0,0.07
1341,Apples,Fruits,Italy,0.117,0,0.07
1341,Apples,Fruits,Spain,0.62,0,0.07
1343,Apricots,Fruits,RoW,0.093,0,0.07
1343,Apricots,Fruits,Spain,0.907,0,0.07
1216,Artichokes,Vegetables,Spain,1,0,0.07
1211,Asparagus,Vegetables,RoW,0.031,0,0.07
1211,Asparagus,Vegetables,Peru,0.128,0,0.07
1211,Asparagus,Vegetables,Spain,0.841,0,0.07
1311,Avocados,Vegetables,RoW,0.1,0,0.07
1311,Avocados,Vegetables,Peru,0.265,0,0.07
1311,Avocados,Vegetables,Spain,0.635,0,0.07
1312,Bananas,Fruits,RoW,0.328,0,0.07
1312,Bananas,Fruits,Spain,0.672,0,0.07
115,"Barley, average","Cereals, incl feed",RoW,0.042,0,0.045
115,"Barley, average","Cereals, incl feed",Spain,0.958,0,0.045
0115_s,"Barley, spring",Cereals,RoW,0.042,0,0.045
0115_s,"Barley, spring",Cereals,Spain,0.958,0,0.045
0115_w,"Barley, winter",Cereals,RoW,0.042,0,0.045
0115_w,"Barley, winter",Cereals,Spain,0.958,0,0.045
1701,"Beans, dry",Pulses,RoW,0.296,0,0.06
1701,"Beans, dry",Pulses,Argentina,0.247,0,0.06
1701,"Beans, dry",Pulses,"China, mainland",0.155,0,0.06
1701,"Beans, dry",Pulses,Spain,0.17,0,0.06
1701,"Beans, dry",Pulses,United States of America,0.132,0,0.06
1355.01,Blueberries,Berries,RoW,0.008,0,0.07
1355.01,Blueberries,Berries,Morocco,0.176,0,0.07
1355.01,Blueberries,Berries,Spain,0.816,0,0.07
1377,"Brazil nuts, in shell",Nuts,RoW,0.02,0,0.06
1377,"Brazil nuts, in shell",Nuts,Spain,0.698,0,0.06
1377,"Brazil nuts, in shell",Nuts,United States of America,0.282,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.147,0,0.06
1702,"Broad beans and horse beans, dry","Pulses, incl feed",Spain,0.853,0,0.06
1243,"Broad beans and horse beans, green",Vegetables,RoW,0.147,0,0.07
1243,"Broad beans and horse beans, green",Vegetables,Spain,0.853,0,0.07
1192,Buckwheat,Seeds,RoW,0.172,0,0.06
1192,Buckwheat,Seeds,"China, mainland",0.365,0,0.06
1192,Buckwheat,Seeds,Lithuania,0.134,0,0.06
1192,Buckwheat,Seeds,Nepal,0.123,0,0.06
1192,Buckwheat,Seeds,Poland,0.206,0,0.06
1212,Cabbages,Vegetables,RoW,0.049,0,0.07
1212,Cabbages,Vegetables,Spain,0.951,0,0.07
1229,Cantaloupes and other melons,Fruits,RoW,0.07,0,0.07
1229,Cantaloupes and other melons,Fruits,Spain,0.93,0,0.07
1251,Carrots and turnips,Vegetables,RoW,0.043,0,0.07
1251,Carrots and turnips,Vegetables,Spain,0.957,0,0.07
1372,"Cashew nuts, in shell",Nuts,RoW,0.295,0,0.06
1372,"Cashew nuts, in shell",Nuts,Ghana,0.101,0,0.06
1372,"Cashew nuts, in shell",Nuts,India,0.399,0,0.06
1372,"Cashew nuts, in shell",Nuts,Côte d'Ivoire,0.205,0,0.06
1213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.07,0,0.07
1213,"Cauliflowers and broccoli, average",Vegetables,Spain,0.93,0,0.07
01213_b,Broccoli,Vegetables,RoW,0.008,0,0.07
01213_b,Broccoli,Vegetables,Spain,0.992,0,0.07
01213_cf,Cauliflowers,Vegetables,RoW,0.008,0,0.07
01213_cf,Cauliflowers,Vegetables,Spain,0.992,0,0.07
1199.9,Cereals n.e.c.,Cereals,RoW,0.118,0,0.045
1199.9,Cereals n.e.c.,Cereals,Spain,0.882,0,0.045
1344.02,Cherries,Berries,RoW,0.009,0,0.07
1344.02,Cherries,Berries,Spain,0.991,0,0.07
1373,"Chestnuts, in shell",Nuts,RoW,0.149,0,0.06
1373,"Chestnuts, in shell",Nuts,Spain,0.851,0,0.06
1703,"Chick peas, dry",Pulses,RoW,0.198,0,0.06
1703,"Chick peas, dry",Pulses,Mexico,0.387,0,0.06
1703,"Chick peas, dry",Pulses,Spain,0.259,0,0.06
1703,"Chick peas, dry",Pulses,United States of America,0.156,0,0.06
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.029,0,0.07
1652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,Spain,0.971,0,0.07
1640,Cocoa beans,Stimulants,RoW,0.253,0,0.07
1640,Cocoa beans,Stimulants,Ghana,0.237,0,0.07
1640,Cocoa beans,Stimulants,Côte d'Ivoire,0.383,0,0.07
1640,Cocoa beans,Stimulants,Nigeria,0.126,0,0.07
1460,"Coconut, in shell",Nuts,RoW,0.173,0,0.06
1460,"Coconut, in shell",Nuts,Philippines,0.827,0,0.06
1610,"Coffee, green",Stimulants,RoW,0.516,0,0.07
1610,"Coffee, green",Stimulants,Brazil,0.38,0,0.07
1610,"Coffee, green",Stimulants,Colombia,0.103,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.007,0,0.07
1232,"Cucumbers and gherkins, averrage",Vegetables,Spain,0.993,0,0.07
01232_gh,"Cucumbers and gherkins, greenhouse",Vegetables,RoW,0.007,0,0.07
01232_gh,"Cucumbers and gherkins, greenhouse",Vegetables,Spain,0.993,0,0.07
01232_of,"Cucumbers and gherkins, openfield",Vegetables,RoW,0.007,0,0.07
01232_of,"Cucumbers and gherkins, openfield",Vegetables,Spain,0.993,0,0.07
1351.01,Currants,Berries,RoW,0.093,0,0.07
1351.01,Currants,Berries,Spain,0.907,0,0.07
1314,Dates,Fruits,RoW,0.081,0,0.07
1314,Dates,Fruits,Israel,0.135,0,0.07
1314,Dates,Fruits,Spain,0.334,0,0.07
1314,Dates,Fruits,Tunisia,0.45,0,0.07
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.256,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Spain,0.639,0,0.24
1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,Togo,0.105,0,0.24
1233,Eggplants (aubergines),Vegetables,RoW,0.003,0,0.07
1233,Eggplants (aubergines),Vegetables,Spain,0.997,0,0.07
1315,Figs,Fruits,RoW,0.004,0,0.07
1315,Figs,Fruits,Spain,0.825,0,0.07
1315,Figs,Fruits,Turkey,0.17,0,0.07
1351.02,Gooseberries,Berries,Spain,1,0,0.07
1330,Grapes,Fruits,RoW,0.027,0,0.07
1330,Grapes,Fruits,Spain,0.973,0,0.07
1290.01,Green corn (maize),Vegetables,RoW,1,0,0.07
1252,Green garlic,Vegetables,RoW,0.033,0,0.07
1252,Green garlic,Vegetables,Spain,0.967,0,0.07
142,"Groundnuts, excluding shelled",Nuts,RoW,0.02,0,0.06
142,"Groundnuts, excluding shelled",Nuts,Spain,0.698,0,0.06
142,"Groundnuts, excluding shelled",Nuts,United States of America,0.282,0,0.06
1374,"Hazelnuts, in shell",Nuts,RoW,0.076,0,0.06
1374,"Hazelnuts, in shell",Nuts,Spain,0.705,0,0.06
1374,"Hazelnuts, in shell",Nuts,Turkey,0.219,0,0.06
1352,Kiwi fruit,Fruits,RoW,0.112,0,0.07
1352,Kiwi fruit,Fruits,Chile,0.137,0,0.07
1352,Kiwi fruit,Fruits,Italy,0.249,0,0.07
1352,Kiwi fruit,Fruits,New Zealand,0.363,0,0.07
1352,Kiwi fruit,Fruits,Spain,0.138,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.092,0,0.07
1254,Leeks and other alliaceous vegetables,Vegetables,Spain,0.908,0,0.07
1322,Lemons and limes,Fruits,RoW,0.073,0,0.07
1322,Lemons and limes,Fruits,Spain,0.927,0,0.07
1704,"Lentils, dry (organic)",Pulses,RoW,0.018,0,0.06
1704,"Lentils, dry (organic)",Pulses,Canada,0.407,0,0.06
1704,"Lentils, dry (organic)",Pulses,Spain,0.238,0,0.06
1704,"Lentils, dry (organic)",Pulses,United States of America,0.337,0,0.06
1214,Lettuce and chicory,Vegetables,RoW,0.016,0,0.07
1214,Lettuce and chicory,Vegetables,Spain,0.984,0,0.07
1441,Linseed,Seeds,RoW,0.164,0,0.06
1441,Linseed,Seeds,Canada,0.295,0,0.06
1441,Linseed,Seeds,Kazakhstan,0.144,0,0.06
1441,Linseed,Seeds,Russian Federation,0.397,0,0.06
1709.02,Lupins,Pulses,RoW,0.147,0,0.06
1709.02,Lupins,Pulses,Spain,0.853,0,0.06
112,Maize (corn),"Cereals, incl feed",RoW,0.189,0,0.045
112,Maize (corn),"Cereals, incl feed",France,0.131,0,0.045
112,Maize (corn),"Cereals, incl feed",Spain,0.452,0,0.045
112,Maize (corn),"Cereals, incl feed",Ukraine,0.228,0,0.045
1316,"Mangoes, guavas and mangosteens",Fruits,RoW,0.119,0,0.07
1316,"Mangoes, guavas and mangosteens",Fruits,Brazil,0.669,0,0.07
1316,"Mangoes, guavas and mangosteens",Fruits,Peru,0.213,0,0.07
118,Millet,Cereals,RoW,0.248,0,0.045
118,Millet,Cereals,France,0.379,0,0.045
118,Millet,Cereals,Ukraine,0.373,0,0.045
1199.02,Mixed grain,Cereals,RoW,0.118,0,0.045
1199.02,Mixed grain,Cereals,Spain,0.882,0,0.045
1270,Mushrooms and truffles,Mushrooms,RoW,0.066,0,0.07
1270,Mushrooms and truffles,Mushrooms,Spain,0.934,0,0.07
117,Oats,"Cereals, incl feed",RoW,0.087,0,0.045
117,Oats,"Cereals, incl feed",Spain,0.913,0,0.045
1491.01,Oil palm fruit,"Oil crops, tree",RoW,1,0,0.06
1450,Olives,"Oil crops, tree",RoW,0.041,0,0.06
1450,Olives,"Oil crops, tree",Spain,0.959,0,0.06
1253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,RoW,0.049,0,0.07
1253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,Spain,0.951,0,0.07
1323,Oranges,Fruits,RoW,0.052,0,0.07
1323,Oranges,Fruits,Spain,0.948,0,0.07
1241.9,"Other beans, green",Vegetables,RoW,0.075,0,0.07
1241.9,"Other beans, green",Vegetables,Morocco,0.285,0,0.07
1241.9,"Other beans, green",Vegetables,Spain,0.64,0,0.07
1359.9,"Other fruits, n.e.c.",Fruits,RoW,1,0,0.07
1449.9,"Other oil seeds, n.e.c.",Oil crops,RoW,1,0,0.06
1709.9,Other pulses n.e.c.,Pulses,RoW,0.296,0,0.06
1709.9,Other pulses n.e.c.,Pulses,Argentina,0.247,0,0.06
1709.9,Other pulses n.e.c.,Pulses,"China, mainland",0.155,0,0.06
1709.9,Other pulses n.e.c.,Pulses,Spain,0.17,0,0.06
1709.9,Other pulses n.e.c.,Pulses,United States of America,0.132,0,0.06
1699,"Other stimulant, spice and aromatic crops, n.e.c.",Stimulants,RoW,1,0,0.07
1290.9,"Other vegetables, fresh n.e.c.",Vegetables,RoW,1,0,0.07
1317,Papayas,Fruits,Brazil,0.922,0,0.07
1317,Papayas,Fruits,RoW,0.078,0,0.07
