SUA Code;SUA Name;Category;Producer Country;Share;Organic;Waste
1371;Almonds, in shell;Nuts;RoW;0.208;0;0.06
1371;Almonds, in shell;Nuts;United States of America;0.792;0;0.06
1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Vegetables;RoW;0.429;0;0.07
1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;Vegetables;India;0.571;0;0.07
1341;Apples;Fruits;RoW;0.696;0;0.07
1341;Apples;Fruits;France;0.165;0;0.07
1341;Apples;Fruits;Ireland;0.139;0;0.07
1343;Apricots;Fruits;RoW;0.118;0;0.07
1343;Apricots;Fruits;Spain;0.113;0;0.07
1343;Apricots;Fruits;Turkey;0.77;0;0.07
1216;Artichokes;Vegetables;Turkey;1;0;0.07
1211;Asparagus;Vegetables;RoW;0.391;0;0.07
1211;Asparagus;Vegetables;Peru;0.46;0;0.07
1211;Asparagus;Vegetables;Spain;0.149;0;0.07
1311;Avocados;Vegetables;RoW;0.186;0;0.07
1311;Avocados;Vegetables;Chile;0.204;0;0.07
1311;Avocados;Vegetables;Israel;0.13;0;0.07
1311;Avocados;Vegetables;Peru;0.265;0;0.07
1311;Avocados;Vegetables;South Africa;0.216;0;0.07
1312;Bananas;Fruits;RoW;1;0;0.07
115;Barley, average;Cereals, incl feed;RoW;0.22;0;0.045
115;Barley, average;Cereals, incl feed;Ireland;0.78;0;0.045
0115_s;Barley, spring;Cereals;RoW;0.22;0;0.045
0115_s;Barley, spring;Cereals;Ireland;0.78;0;0.045
0115_w;Barley, winter;Cereals;RoW;0.22;0;0.045
0115_w;Barley, winter;Cereals;Ireland;0.78;0;0.045
1701;Beans, dry;Pulses;RoW;0.146;0;0.06
1701;Beans, dry;Pulses;Ireland;0.854;0;0.06
1355.01;Blueberries;Berries;RoW;0.082;0;0.07
1355.01;Blueberries;Berries;Morocco;0.129;0;0.07
1355.01;Blueberries;Berries;Poland;0.208;0;0.07
1355.01;Blueberries;Berries;Spain;0.581;0;0.07
1377;Brazil nuts, in shell;Nuts;RoW;0.208;0;0.06
1377;Brazil nuts, in shell;Nuts;United States of America;0.792;0;0.06
1702;Broad beans and horse beans, dry;Pulses, incl feed;RoW;0.133;0;0.06
1702;Broad beans and horse beans, dry;Pulses, incl feed;Germany;0.867;0;0.06
1243;Broad beans and horse beans, green;Vegetables;RoW;0.133;0;0.07
